CODREV3,rnombre
0111,CULTIVO DE ALGODON Y OTRAS QUE DAN MATERIAS TEXTILES
0112,CULTIVO DE ACEITUNAS
0113,"CULTIVO DE CAFE, CACAO EN GRANO Y TE"
0121,CORTE DE LANA DE OVEJA POR EL PROPIETARIO DEL REBA¥O
0122,"CRIA EN CAUTIVERIO DE ANIMALES SEMIDOMESTICOS (PAJAROS, REPT"
0130,CULTIVO DE PRODUCTOS AGRICOLAS Y LA CRIA DE ANIMALES
0140,ACTIVIDADES DE CONTRATISTAS DE M. DE OBRA PARA EL SECTOR AGR
0150,ACTIVIDADES DE SERVICIO PARA PROMOVER LA CAZA ORDINARIA
0200,ACTIVIDADES DE SERVICIOS FORESTALES
0500,"CAPTURA DE ANIMALES ACUATICOS COMO TORTUGAS MARINAS, ERIZOS"
1010,EXTRACCION DE DIVERSOS TIPOS DE CARBON DE PIEDRA
1020,EXTRACCION DE LIGNITO (CARBON PARDO)
1030,EXTRACCION Y AGLOMERACION DE TURBA
1110,EXTRACCION DE PETROLEO CRUDO Y MINERALES BITUMINOSOS
1120,SERVICIOS DE PERFORACION Y REPERFORACION
1200,"CONCENTRACION DE MINERALES (URANIO,TORIO Y PECBLENDA)"
1310,"EXTRAC. DE MINERALES DE HIERRO COMO LA HEMATITA, ETC."
1320,EXTRACCION DE ALUMINIO (BAUXITA)
1410,EXPLOTACION GRAVERAS Y CANTERAS DE ARENA
1421,"CONCENT. COMPUESTOS DE BORO, SULFATO DE MAGNESIO"
1422,"EXTRACCION, MOLIENDA Y CRIBADO DE SAL"
1429,EXTRACCION DE ASBESTO
1511,ACTIVIDADES DE MATANZA - CAMALES
1512,"CONSERVACION DE CRUSTACEOS Y MOLUSCOS: CONGELAC., SECACION,"
1513,"CONSERVACION DE FRUTAS, HORTALIZAS Y LEGUMBRES (ENVASE RECIP"
1514,FABRICA DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL
1515,EXTRACCION DE ACEITE DE HIGADO DE PESCADO
